ClienteID,RazonSocial,Canal,VolumenMensualCajas,PlazoPagoDias,ProbabilidadDefault,ScoreRiesgo,NivelRiesgo,PrescripcionAccion
CLI-0206,Distribuidora / Importador 206,Distribuidor Mayorista,854,30,0.3476,34.8,🟢 BAJO,Mantener linea ordinaria
CLI-0207,Distribuidora / Importador 207,Distribuidor Mayorista,2730,45,0.5366,53.7,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0208,Distribuidora / Importador 208,Distribuidor Mayorista,2727,45,0.5985,59.9,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0209,Distribuidora / Importador 209,Distribuidor Mayorista,2730,60,0.6078,60.8,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0210,Distribuidora / Importador 210,Exportacion FOB,39426,45,0.9802,98.0,🔴 CRITICO,Exigir pago anticipado
CLI-0211,Distribuidora / Importador 211,Distribuidor Mayorista,2855,45,0.5246,52.5,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0212,Distribuidora / Importador 212,Exportacion FOB,4485,120,0.9706,97.1,🔴 CRITICO,Exigir pago anticipado
CLI-0213,Distribuidora / Importador 213,Distribuidor Mayorista,3878,60,0.8655,86.6,🔴 CRITICO,Exigir pago anticipado
CLI-0214,Distribuidora / Importador 214,Exportacion FOB,3045,30,0.6595,66.0,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0215,Distribuidora / Importador 215,Distribuidor Mayorista,1405,30,0.4821,48.2,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0216,Distribuidora / Importador 216,Distribuidor Mayorista,3318,30,0.4411,44.1,🟢 BAJO,Mantener linea ordinaria
CLI-0217,Distribuidora / Importador 217,Distribuidor Mayorista,974,30,0.3593,35.9,🟢 BAJO,Mantener linea ordinaria
CLI-0218,Distribuidora / Importador 218,Exportacion FOB,1496,30,0.5776,57.8,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0219,Distribuidora / Importador 219,Distribuidor Mayorista,1226,30,0.4606,46.1,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0220,Distribuidora / Importador 220,Distribuidor Mayorista,1930,45,0.7206,72.1,🔴 CRITICO,Exigir pago anticipado
CLI-0221,Distribuidora / Importador 221,Exportacion FOB,11519,30,0.8091,80.9,🔴 CRITICO,Exigir pago anticipado
CLI-0222,Distribuidora / Importador 222,Exportacion FOB,406,90,0.8795,87.9,🔴 CRITICO,Exigir pago anticipado
CLI-0223,Distribuidora / Importador 223,Distribuidor Mayorista,3131,30,0.4751,47.5,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0224,Distribuidora / Importador 224,Exportacion FOB,498,45,0.7484,74.8,🔴 CRITICO,Exigir pago anticipado
CLI-0225,Distribuidora / Importador 225,Distribuidor Mayorista,1239,45,0.6082,60.8,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0226,Distribuidora / Importador 226,Distribuidor Mayorista,4321,120,0.9252,92.5,🔴 CRITICO,Exigir pago anticipado
CLI-0227,Distribuidora / Importador 227,Distribuidor Mayorista,1903,30,0.3806,38.1,🟢 BAJO,Mantener linea ordinaria
CLI-0228,Distribuidora / Importador 228,Exportacion FOB,763,45,0.7603,76.0,🔴 CRITICO,Exigir pago anticipado
CLI-0229,Distribuidora / Importador 229,Exportacion FOB,1020,120,0.9516,95.2,🔴 CRITICO,Exigir pago anticipado
CLI-0230,Distribuidora / Importador 230,Distribuidor Mayorista,3114,90,0.7744,77.4,🔴 CRITICO,Exigir pago anticipado
CLI-0231,Distribuidora / Importador 231,Distribuidor Mayorista,1008,90,0.848,84.8,🔴 CRITICO,Exigir pago anticipado
CLI-0232,Distribuidora / Importador 232,Distribuidor Mayorista,2150,45,0.5435,54.3,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0233,Distribuidora / Importador 233,Exportacion FOB,1875,30,0.739,73.9,🔴 CRITICO,Exigir pago anticipado
CLI-0234,Distribuidora / Importador 234,Exportacion FOB,1074,60,0.7275,72.7,🔴 CRITICO,Exigir pago anticipado
CLI-0235,Distribuidora / Importador 235,Distribuidor Mayorista,10048,90,0.8943,89.4,🔴 CRITICO,Exigir pago anticipado
CLI-0236,Distribuidora / Importador 236,Exportacion FOB,3002,45,0.774,77.4,🔴 CRITICO,Exigir pago anticipado
CLI-0237,Distribuidora / Importador 237,Exportacion FOB,358,45,0.6739,67.4,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0238,Distribuidora / Importador 238,Distribuidor Mayorista,2099,45,0.6044,60.4,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0239,Distribuidora / Importador 239,Distribuidor Mayorista,1065,60,0.7707,77.1,🔴 CRITICO,Exigir pago anticipado
CLI-0240,Distribuidora / Importador 240,Distribuidor Mayorista,3576,30,0.4523,45.2,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0241,Distribuidora / Importador 241,Distribuidor Mayorista,959,45,0.4268,42.7,🟢 BAJO,Mantener linea ordinaria
CLI-0242,Distribuidora / Importador 242,Distribuidor Mayorista,1649,45,0.6669,66.7,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0243,Distribuidora / Importador 243,Distribuidor Mayorista,2708,45,0.5273,52.7,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0244,Distribuidora / Importador 244,Exportacion FOB,3614,30,0.5,50.0,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0245,Distribuidora / Importador 245,Distribuidor Mayorista,692,30,0.2697,27.0,🟢 BAJO,Mantener linea ordinaria
CLI-0246,Distribuidora / Importador 246,Distribuidor Mayorista,1384,60,0.7456,74.6,🔴 CRITICO,Exigir pago anticipado
CLI-0247,Distribuidora / Importador 247,Distribuidor Mayorista,1237,45,0.5962,59.6,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0248,Distribuidora / Importador 248,Distribuidor Mayorista,1072,45,0.45,45.0,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0249,Distribuidora / Importador 249,Distribuidor Mayorista,7423,30,0.5559,55.6,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0250,Distribuidora / Importador 250,Distribuidor Mayorista,2500,45,0.4843,48.4,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0251,Distribuidora / Importador 251,Distribuidor Mayorista,659,45,0.5119,51.2,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0252,Distribuidora / Importador 252,Distribuidor Mayorista,3768,30,0.2882,28.8,🟢 BAJO,Mantener linea ordinaria
CLI-0253,Distribuidora / Importador 253,Distribuidor Mayorista,9875,45,0.7037,70.4,🔴 CRITICO,Exigir pago anticipado
CLI-0254,Distribuidora / Importador 254,Distribuidor Mayorista,4130,30,0.5699,57.0,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0255,Distribuidora / Importador 255,Exportacion FOB,536,30,0.692,69.2,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0256,Distribuidora / Importador 256,Distribuidor Mayorista,1227,120,0.9122,91.2,🔴 CRITICO,Exigir pago anticipado
CLI-0257,Distribuidora / Importador 257,Distribuidor Mayorista,4982,45,0.6476,64.8,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0258,Distribuidora / Importador 258,Exportacion FOB,1026,90,0.8776,87.8,🔴 CRITICO,Exigir pago anticipado
CLI-0259,Distribuidora / Importador 259,Distribuidor Mayorista,2579,45,0.4924,49.2,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0260,Distribuidora / Importador 260,Distribuidor Mayorista,3360,60,0.6927,69.3,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0261,Distribuidora / Importador 261,Exportacion FOB,861,60,0.7875,78.8,🔴 CRITICO,Exigir pago anticipado
CLI-0262,Distribuidora / Importador 262,Distribuidor Mayorista,1724,45,0.4534,45.3,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0263,Distribuidora / Importador 263,Distribuidor Mayorista,135,45,0.6769,67.7,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0264,Distribuidora / Importador 264,Exportacion FOB,797,45,0.5603,56.0,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0265,Distribuidora / Importador 265,Exportacion FOB,1477,45,0.627,62.7,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0266,Distribuidora / Importador 266,Exportacion FOB,666,90,0.8471,84.7,🔴 CRITICO,Exigir pago anticipado
CLI-0267,Distribuidora / Importador 267,Distribuidor Mayorista,6674,90,0.9295,93.0,🔴 CRITICO,Exigir pago anticipado
CLI-0268,Distribuidora / Importador 268,Distribuidor Mayorista,576,120,0.9362,93.6,🔴 CRITICO,Exigir pago anticipado
CLI-0269,Distribuidora / Importador 269,Distribuidor Mayorista,1272,30,0.2958,29.6,🟢 BAJO,Mantener linea ordinaria
CLI-0270,Distribuidora / Importador 270,Distribuidor Mayorista,2007,60,0.6112,61.1,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0271,Distribuidora / Importador 271,Distribuidor Mayorista,5727,90,0.8577,85.8,🔴 CRITICO,Exigir pago anticipado
CLI-0272,Distribuidora / Importador 272,Distribuidor Mayorista,573,30,0.2786,27.9,🟢 BAJO,Mantener linea ordinaria
CLI-0273,Distribuidora / Importador 273,Exportacion FOB,4585,30,0.7133,71.3,🔴 CRITICO,Exigir pago anticipado
CLI-0274,Distribuidora / Importador 274,Distribuidor Mayorista,1823,60,0.8039,80.4,🔴 CRITICO,Exigir pago anticipado
CLI-0275,Distribuidora / Importador 275,Distribuidor Mayorista,825,45,0.7366,73.7,🔴 CRITICO,Exigir pago anticipado
CLI-0276,Distribuidora / Importador 276,Distribuidor Mayorista,2617,90,0.7691,76.9,🔴 CRITICO,Exigir pago anticipado
CLI-0277,Distribuidora / Importador 277,Distribuidor Mayorista,2120,30,0.5632,56.3,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0278,Distribuidora / Importador 278,Distribuidor Mayorista,1119,60,0.5552,55.5,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0279,Distribuidora / Importador 279,Distribuidor Mayorista,1912,30,0.3805,38.0,🟢 BAJO,Mantener linea ordinaria
CLI-0280,Distribuidora / Importador 280,Distribuidor Mayorista,1328,30,0.326,32.6,🟢 BAJO,Mantener linea ordinaria
CLI-0281,Distribuidora / Importador 281,Distribuidor Mayorista,1980,30,0.2892,28.9,🟢 BAJO,Mantener linea ordinaria
CLI-0282,Distribuidora / Importador 282,Exportacion FOB,3071,90,0.9411,94.1,🔴 CRITICO,Exigir pago anticipado
CLI-0283,Distribuidora / Importador 283,Exportacion FOB,6431,60,0.9269,92.7,🔴 CRITICO,Exigir pago anticipado
CLI-0284,Distribuidora / Importador 284,Distribuidor Mayorista,672,45,0.6249,62.5,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0285,Distribuidora / Importador 285,Distribuidor Mayorista,9961,45,0.6807,68.1,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0286,Distribuidora / Importador 286,Exportacion FOB,379,90,0.8945,89.5,🔴 CRITICO,Exigir pago anticipado
CLI-0287,Distribuidora / Importador 287,Exportacion FOB,1601,45,0.8638,86.4,🔴 CRITICO,Exigir pago anticipado
CLI-0288,Distribuidora / Importador 288,Distribuidor Mayorista,2895,90,0.7543,75.4,🔴 CRITICO,Exigir pago anticipado
CLI-0289,Distribuidora / Importador 289,Exportacion FOB,2264,45,0.7973,79.7,🔴 CRITICO,Exigir pago anticipado
CLI-0290,Distribuidora / Importador 290,Distribuidor Mayorista,1099,45,0.4907,49.1,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0291,Distribuidora / Importador 291,Exportacion FOB,1531,45,0.7993,79.9,🔴 CRITICO,Exigir pago anticipado
CLI-0292,Distribuidora / Importador 292,Exportacion FOB,1219,45,0.7981,79.8,🔴 CRITICO,Exigir pago anticipado
CLI-0293,Distribuidora / Importador 293,Distribuidor Mayorista,1128,60,0.7039,70.4,🔴 CRITICO,Exigir pago anticipado
CLI-0294,Distribuidora / Importador 294,Exportacion FOB,3568,45,0.719,71.9,🔴 CRITICO,Exigir pago anticipado
CLI-0295,Distribuidora / Importador 295,Distribuidor Mayorista,2406,30,0.4361,43.6,🟢 BAJO,Mantener linea ordinaria
CLI-0296,Distribuidora / Importador 296,Exportacion FOB,1039,90,0.9126,91.3,🔴 CRITICO,Exigir pago anticipado
CLI-0297,Distribuidora / Importador 297,Distribuidor Mayorista,3713,45,0.4367,43.7,🟢 BAJO,Mantener linea ordinaria
CLI-0298,Distribuidora / Importador 298,Exportacion FOB,2312,45,0.7603,76.0,🔴 CRITICO,Exigir pago anticipado
CLI-0299,Distribuidora / Importador 299,Distribuidor Mayorista,3464,90,0.9303,93.0,🔴 CRITICO,Exigir pago anticipado
CLI-0300,Distribuidora / Importador 300,Distribuidor Mayorista,2992,60,0.6221,62.2,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0301,Distribuidora / Importador 301,Distribuidor Mayorista,932,30,0.3997,40.0,🟢 BAJO,Mantener linea ordinaria
CLI-0302,Distribuidora / Importador 302,Exportacion FOB,1155,90,0.8978,89.8,🔴 CRITICO,Exigir pago anticipado
CLI-0303,Distribuidora / Importador 303,Exportacion FOB,3287,60,0.8005,80.0,🔴 CRITICO,Exigir pago anticipado
CLI-0304,Distribuidora / Importador 304,Exportacion FOB,2946,45,0.7853,78.5,🔴 CRITICO,Exigir pago anticipado
CLI-0305,Distribuidora / Importador 305,Exportacion FOB,1778,30,0.5805,58.0,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0306,Distribuidora / Importador 306,Distribuidor Mayorista,1986,60,0.7167,71.7,🔴 CRITICO,Exigir pago anticipado
CLI-0307,Distribuidora / Importador 307,Distribuidor Mayorista,5025,60,0.6959,69.6,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0308,Distribuidora / Importador 308,Distribuidor Mayorista,1126,45,0.4185,41.9,🟢 BAJO,Mantener linea ordinaria
CLI-0309,Distribuidora / Importador 309,Distribuidor Mayorista,2801,90,0.8332,83.3,🔴 CRITICO,Exigir pago anticipado
CLI-0310,Distribuidora / Importador 310,Distribuidor Mayorista,1538,60,0.6695,67.0,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0311,Distribuidora / Importador 311,Distribuidor Mayorista,1519,30,0.3042,30.4,🟢 BAJO,Mantener linea ordinaria
CLI-0312,Distribuidora / Importador 312,Distribuidor Mayorista,4355,45,0.513,51.3,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0313,Distribuidora / Importador 313,Distribuidor Mayorista,3499,30,0.3748,37.5,🟢 BAJO,Mantener linea ordinaria
CLI-0314,Distribuidora / Importador 314,Distribuidor Mayorista,3466,60,0.6106,61.1,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0315,Distribuidora / Importador 315,Distribuidor Mayorista,5138,30,0.4465,44.7,🟢 BAJO,Mantener linea ordinaria
CLI-0316,Distribuidora / Importador 316,Exportacion FOB,1839,45,0.7573,75.7,🔴 CRITICO,Exigir pago anticipado
CLI-0317,Distribuidora / Importador 317,Exportacion FOB,3120,60,0.7924,79.2,🔴 CRITICO,Exigir pago anticipado
CLI-0318,Distribuidora / Importador 318,Exportacion FOB,1411,90,0.9099,91.0,🔴 CRITICO,Exigir pago anticipado
CLI-0319,Distribuidora / Importador 319,Distribuidor Mayorista,2343,45,0.6569,65.7,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0320,Distribuidora / Importador 320,Distribuidor Mayorista,1629,90,0.6968,69.7,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0321,Distribuidora / Importador 321,Exportacion FOB,1954,30,0.6332,63.3,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0322,Distribuidora / Importador 322,Distribuidor Mayorista,2911,90,0.9274,92.7,🔴 CRITICO,Exigir pago anticipado
CLI-0323,Distribuidora / Importador 323,Distribuidor Mayorista,940,30,0.3409,34.1,🟢 BAJO,Mantener linea ordinaria
CLI-0324,Distribuidora / Importador 324,Distribuidor Mayorista,9642,45,0.6588,65.9,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0325,Distribuidora / Importador 325,Distribuidor Mayorista,809,60,0.5602,56.0,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0326,Distribuidora / Importador 326,Distribuidor Mayorista,684,30,0.2946,29.5,🟢 BAJO,Mantener linea ordinaria
CLI-0327,Distribuidora / Importador 327,Distribuidor Mayorista,4566,30,0.507,50.7,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0328,Distribuidora / Importador 328,Distribuidor Mayorista,3406,60,0.6647,66.5,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0329,Distribuidora / Importador 329,Distribuidor Mayorista,2979,60,0.601,60.1,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0330,Distribuidora / Importador 330,Distribuidor Mayorista,2989,60,0.7075,70.7,🔴 CRITICO,Exigir pago anticipado
CLI-0331,Distribuidora / Importador 331,Exportacion FOB,1790,60,0.7083,70.8,🔴 CRITICO,Exigir pago anticipado
CLI-0332,Distribuidora / Importador 332,Distribuidor Mayorista,882,45,0.6058,60.6,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0333,Distribuidora / Importador 333,Distribuidor Mayorista,1921,45,0.5402,54.0,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0334,Distribuidora / Importador 334,Exportacion FOB,1052,45,0.8877,88.8,🔴 CRITICO,Exigir pago anticipado
CLI-0335,Distribuidora / Importador 335,Distribuidor Mayorista,3945,30,0.4629,46.3,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0336,Distribuidora / Importador 336,Distribuidor Mayorista,1607,90,0.8015,80.1,🔴 CRITICO,Exigir pago anticipado
CLI-0337,Distribuidora / Importador 337,Distribuidor Mayorista,934,45,0.5371,53.7,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0338,Distribuidora / Importador 338,Distribuidor Mayorista,1398,45,0.458,45.8,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0339,Distribuidora / Importador 339,Distribuidor Mayorista,2516,45,0.592,59.2,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0340,Distribuidora / Importador 340,Exportacion FOB,1152,90,0.8837,88.4,🔴 CRITICO,Exigir pago anticipado
CLI-0341,Distribuidora / Importador 341,Distribuidor Mayorista,937,30,0.3047,30.5,🟢 BAJO,Mantener linea ordinaria
CLI-0342,Distribuidora / Importador 342,Distribuidor Mayorista,2197,45,0.4086,40.9,🟢 BAJO,Mantener linea ordinaria
CLI-0343,Distribuidora / Importador 343,Distribuidor Mayorista,2199,45,0.7009,70.1,🔴 CRITICO,Exigir pago anticipado
CLI-0344,Distribuidora / Importador 344,Distribuidor Mayorista,1205,60,0.5748,57.5,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0345,Distribuidora / Importador 345,Distribuidor Mayorista,1240,30,0.4273,42.7,🟢 BAJO,Mantener linea ordinaria
CLI-0346,Distribuidora / Importador 346,Distribuidor Mayorista,2177,90,0.8432,84.3,🔴 CRITICO,Exigir pago anticipado
CLI-0347,Distribuidora / Importador 347,Distribuidor Mayorista,568,90,0.745,74.5,🔴 CRITICO,Exigir pago anticipado
CLI-0348,Distribuidora / Importador 348,Distribuidor Mayorista,586,45,0.5248,52.5,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0349,Distribuidora / Importador 349,Distribuidor Mayorista,1018,60,0.6198,62.0,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0350,Distribuidora / Importador 350,Distribuidor Mayorista,1524,90,0.9199,92.0,🔴 CRITICO,Exigir pago anticipado
